,Unnamed: 0.1,Unnamed: 0,Title,Company,Location,Type,Salary,Contract_type,Job Description,JobType,Skill
76,1,1,Business Analyst,T-Rex Solutions,"Washington, DC",Remote,"$105,000 - $130,000 ",r,"T-Rex is seeking a Senior Business Analyst to support the support activities related to the current and future state baselining of DHMS programs in terms of scope, activities, relevant processes, and stakeholders. The candidate will work closely with senior T-Rex BAs, System Engineers and Project Managers.
The PEO Defense Healthcare Management System (DHMS) is transforming the delivery of health care and advance data sharing through a modernized electronic health record for service members, veterans, and their families. The Workforce 3.0 program within DHMS is a managed solution that leverages innovative new processes, methods, and best-in-class methodologies from the private sector to enable the entire PEO DHMS workforce to deliver world-class technology. The DHMS systems provide important health IT capabilities to 9.6 million active military, their families, and their beneficiaries. This program supports management of technical deployments, field deployments, and technology training/adoption. Let's talk about how you can help make a difference.
Responsibilities:
Conduct DHMS stakeholder interviews to understand current state processes, ways of working, and overall operational execution
Facilitate product discovery sessions with the product managers/product owners and business end users to gather business requirements
Analyze and document business requirements in the form of experiences, epics, stories and acceptance criteria for both business and technical audiences
Collaborate with Product Leads and Business Analysts to understand and define product dependences, interfaces, and risks
Define & document acceptance criteria for user stories in a given-when-then format
Produce meeting minutes and summarize key decisions points at conclusion of discussions
Collaborate with Product Management and Agile development teams to communicate detailed product requirements
Create business process workflows and any other artifacts required as needed
Participate in relevant workshops and discussions with DHMS stakeholders
Develop data requests and documentation requests to assist in program baselining activities
Requirements:
5+ years of professional experience
Experience conducting stakeholder interviews, participating and leading workshops, and supporting and executing customer data calls
Experience developing process documentation and process improvement documentation
Ability to work independently as well as part of a larger team
Strong written and verbal communication skills
Desired Skills:
Bachelor's Degree preferred in Information Technology, Computer Science, Engineering or another similar discipline
Experience with Agile methodologies
Experience with JIRA
Experience developing or delivering technical scope of work
T-Rex Overview
Established in 1999, T-Rex Solutions, LLC is a proven mid-tier business providing data-centric mission services to the Federal government as it increasingly tries to secure and leverage the power of data. We design, integrate, secure, and deploy advanced technical solutions for our customers so they can efficiently fulfill their critical objectives. T-Rex offers both IT and professional services to numerous Federal agencies and is a leader in providing high quality and innovative solutions in the areas of Cloud and Infrastructure Services, Cyber Security, and Big Data Engineering.
T-Rex is constantly seeking qualified people to join our growing team. We have built a broad client base through our devotion to delivering quality products and customer service, and to do that we need quality individuals. But more than that, we at T-Rex are committed to creating a culture that supports the development of every employee's personal and professional lives. T-Rex has made a commitment to maintain the status of an industry leader in compensation packages and benefits which includes competitive salaries, performance bonuses, training and educational reimbursement, Transamerica 401(k) and Cigna healthcare benefits.
T-Rex is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, religion, color, sex (including pregnancy, gender identity, and sexual orientation), parental status, national origin, age, disability, family medical history or genetic information, political affiliation, military service, or other non-merit based factors.
As part of our overall strategy and commitment to maintaining a safe and healthy workplace, and in accordance with applicable regulations, employees of T-Rex must be fully vaccinated against COVID-19 if required by customer or client policies or federal mandates as a condition of employment, subject to reasonable accommodation and other requirements under applicable federal, state, and local law. If required by the customer, the selected individual will have to submit documentation of proof of vaccination before starting employment with T-Rex or have an approved exemption prior to the start of employment.
In compliance with pay transparency guidelines, the annual base salary range for this position is $105,000 - $130,000. Please note that the salary information is a general guideline only. T-Rex considers factors such as (but not limited to) scope and responsibilities of the position, candidate's work experience, education/training, key skills, internal peer equity, as well as market and business considerations when extending an offer.

#ZR",Business Analyst,['communication']
77,2,2,Senior Business Analyst,Telnet Inc,"Nashville, TN 37238",Onsite,$42.25 - $50.00 ,ct,"Job Title: Business Analyst
Position Location: Nashville, TN – hybrid(candidateslocal to Tennesse will be given first preference)
Experience: 5+ years
Analyze and document business requirements and processes. Formulate alternative solutions to satisfy these requirements, which may involve business process reengineering, and/or the deployment of information technology.
Plan and/or conduct end user training for new applications. Prepare cost benefit analyses. Develop and/or oversee plans for the execution of a solution from project inception to conclusion.
Construct data models and activity/process models as may be required to define system functions. Provide support for the installation, testing, data conversion, implementation, and ongoing maintenance of information systems. Conduct and document the results of special studies dealing with systems and/or business process issues.
Facilitate sessions to gather and document requirements and explore solutions. Superior negotiating, analytical, group facilitation, and relationship management skills.
Possess superior organizational and written/verbal communication skills. Hands-on Data Modeling and Process Modeling experience may be required for some assignments.
An understanding of current information technology with an ability to conceptualize solutions to business problems in the most effective and cost-efficient manner.
An ability to integrate solutions across multiple functional and technical environments is required. Requires a minimum of two years of experience in the last two years.
Must hold a BA/BS degree. Same qualifications as Business Analyst I with the exception of the following: Requires a minimum of five years of increasingly complex and responsible experience in the last five years. Must hold a BA/BS degree (advanced degree a plus).
Thanks & Regards,
Priyanka Meganathan
Technical Recruiter | Telnet Inc.
Contact: +1 240-293-2225
LinkedIn: linkedin.com/in/priyanka-meganathan
Job Type: Contract
Salary: $42.25 - $50.00 per hour
Schedule:
8 hour shift
Monday to Friday
Ability to commute/relocate:
Nashville, TN 37238: Reliably commute or planning to relocate before starting work (Required)
Experience:
Data/ Process Modelling (Required)
Cost analysis (Required)
Work Location: One location",Business Analyst,['communication']
78,3,3,Enterprise IT Business Requirements Analyst,"Pembroke Partners, LLC","Washington, DC 20250",Onsite,"$100,000 - $120,000 ",r - Full-time,"Pembroke Partners is currently recruiting for a Enterprise IT Business Requirements Analyst to support an IT/Federal Government Agencies located in Washington D.C. (Hybrid Work Environment)
This enterprise business analyst will provide portfolio level business relationship management services, business architecture, information technology requirement analysis and documentation, target state recommendations, alternatives analysis acquisition planning, and project management support. They will also provide analytical capabilities to facilitate the maintenance or creation of efficient execution plans that will provide support to all areas of the project.
Minimum Requirements
At least 4 years of relevant IT Business Analysis experience
Bachelor’s degree in relevant field preferred
Excellent consulting and business analysis skills such as listening, analysis, problem-solving, attention to detail, writing and communication
Experience with customer collaboration, engagement, and active participation in the team's analysis of the business needs
Experience in working directly with business and technical stakeholders to create, review, and validate requirements artifacts for clarity, completeness, and traceability
Strong project scheduling and tracking expertise
Proficient in developing reports and presentations in Microsoft Word, PowerPoint, Visio, Excel
Proven experience working independently
Ability to work in a consulting role directly with senior client management
Individual commitment to continued training and professional development
Desire and ability to help clients solve relevant performance challenges
Strong communication skills, oral and written
Ability to facilitate cross-functional meetings across business and technology stakeholders
Additional Information
PLACE OF PERFORMANCE: National Capital Region (NCR)
REMOTE WORK: With approval, remote work may be authorized in performance of this award.
SALARY & BENEFITS: Pembroke offers salary, bonus, vacation, retirement, and benefits packages to attract and support the needs of team.
SECURITY: Candidate must be a U.S. Citizen and able to obtain and maintain a Public Trust clearance.
Pembroke Partners, LLC
Pembroke provides business and technology management services to U.S. public sector organizations. We drive and guide improvements in organizational capabilities and efficiencies through the use of strategy, program management, business process and technology solutions. The Pembroke team has first-hand leadership experience managing and directing some of the largest business and technology modernization programs in both the U.S. Civil and Defense Agencies. Our team values direct, honest communication to help organizations overcome constraints and make optimal decisions.
Pembroke Partners, LLC - Equal Opportunity Employer
Job Type: Full-time
Pay: $100,000.00 - $120,000.00 per year
Benefits:
401(k)
401(k) matching
Dental insurance
Flexible schedule
Health insurance
Health savings account
Paid time off
Retirement plan
Vision insurance
Compensation package:
Bonus pay
Schedule:
8 hour shift
Work Location: In person

Health insurance",Business Analyst,"['project management', 'communication']"
79,4,4,IT Business Analyst,Bristol Myers Squibb,"New Brunswick, NJ 08901",Onsite,N,r - Full-time,"Working with Us
Challenging. Meaningful. Life-changing. Those aren’t words that are usually associated with a job. But working at Bristol Myers Squibb is anything but usual. Here, uniquely interesting work happens every day, in every department. From optimizing a production line to the latest breakthroughs in cell therapy, this is work that transforms the lives of patients, and the careers of those who do it. You’ll get the chance to grow and thrive through opportunities uncommon in scale and scope, alongside high-achieving teams rich in diversity. Take your career farther than you thought possible.
Bristol Myers Squibb recognizes the importance of balance and flexibility in our work environment. We offer a wide variety of competitive benefits, services and programs that provide our employees with the resources to pursue their goals, both at work and in their personal lives. Read more: careers.bms.com/working-with-us
This position is an IT Business Analyst aligned with Drug Product Development. Will work with the lead Business Partner to support the strategic plan and ensure value for Drug Product Development. This role also contributes and supports the digital strategy of the company and collaborates with IT Delivery to identify strategic and innovative uses of technology, leveraging enterprise platforms, emerging technology and cloud solutions to drive the Product Development portfolio.
Responsibilities:
Responsible for understanding and identifying digital capabilities and solutions for all areas of Drug Product Development (DPD) including engineering technology, sterile product development, oral product development, material science and engineering, laboratory operations, device development and strategic innovation.
Work with scientists and engineers to extend and improve scripts and small software tools
Responsible for development and maintaining partnerships with DPD scientists and engineers, becoming a trusted partner and advisor to DPD by developing and maintaining domain and functional knowledge related to drug product development. Understanding of current information technology capabilities is required.
Must be an effective communicator of internal IT and external partner capabilities, ensuring that IT functions are successful in delivery of services to DPD
Able to identify and help to implement solutions to support DPD operational objectives. Identify and evaluate emerging technologies for use by DPD.
Proven ability to generate and maintain appropriate documentation for projects as required. Understanding of required SDLC documentation is expected.
Qualifications:
2-3 years of experience and BS/MS degree in related science or technology field preferred.
Experience with programming and scripting languages and database access tools. Python experience preferred.
Demonstrated ability to interpret and document business and functional requirements, particularly in scientific areas.
Demonstrated ability to communicate domain problems clearly.
Experience working with IT delivery teams to translate business requirements into IT solutions that provide positive business outcomes.
Understanding of Drug Product Development processes including formulation, automation, large and small molecule analysis, modeling and simulation, drug product devices is a plus
Experience with technology for data management, programming and scripting
Knowledge of programming languages for modeling, simulation and process automation is a plus.
Familiarity with cloud computing capabilities is a plus.
Demonstrated communication and influencing skills that build trust and collaboration with partner organizations.
Ability to prioritize tasks and drive engagement.
If you come across a role that intrigues you but doesn’t perfectly line up with your resume, we encourage you to apply anyway. You could be one step away from work that will transform your life and career.
Uniquely Interesting Work, Life-changing Careers
With a single vision as inspiring as “Transforming patients’ lives through science™ ”, every BMS employee plays an integral role in work that goes far beyond ordinary. Each of us is empowered to apply our individual talents and unique perspectives in an inclusive culture, promoting diversity in clinical trials, while our shared values of passion, innovation, urgency, accountability, inclusion and integrity bring out the highest potential of each of our colleagues.
On-site Protocol
Physical presence at the BMS worksite or physical presence in the field is a necessary job function of this role, which the Company deems critical to collaboration, innovation, productivity, employee well-being and engagement, and it enhances the Company culture.
COVID-19 Information
To protect the safety of our workforce, customers, patients and communities, the policy of the Company requires all employees and workers in the U.S. and Puerto Rico to be fully vaccinated against COVID-19, unless they have received an exception based on an approved request for a medical or religious reasonable accommodation. Therefore, all BMS applicants seeking a role located in the U.S. and Puerto Rico must confirm that they have already received or are willing to receive the full COVID-19 vaccination by their start date as a qualification of the role and condition of employment. This requirement is subject to state and local law restrictions and may not be applicable to employees working in certain jurisdictions such as Montana. This requirement is also subject to discussions with collective bargaining representatives in the U.S.
BMS is dedicated to ensuring that people with disabilities can perform complex functions through a transparent recruitment process, reasonable workplace adjustments and ongoing support in their roles. Applicants can request an accommodation prior to accepting a job offer. If you require reasonable accommodation in completing this application, or in any part of the recruitment process, direct your inquiries to adastaffingsupport@bms.com. Visit careers.bms.com/eeo-accessibility to access our complete Equal Employment Opportunity statement.
BMS will consider for employment qualified applicants with arrest and conviction records, pursuant to applicable laws in your area.
Any data processed in connection with role applications will be treated in accordance with applicable data privacy policies and regulations.",Business Analyst,"['database', 'communication']"
80,5,5,Business & Data Analyst,LG Ad Solutions,"Mountain View, CA",Onsite,Full-time,Full-time,"LG Ads Solutions is on a mission to make TV an even better advertising medium for brands, agencies, networks, and most importantly, consumers.
We are growing rapidly and looking for Business and Data Analysts to join our team. Business and Data Analysts at LG Ads work on a range of domains spanning Digital Campaign Management, Product Strategy, Business Intelligence, Media Planning, and Sales and Marketing Analytics for a growing portfolio of customers, which have a significant impact on our business and the success of our customers.
Location: Mountain View, CA
In this role you will:
Have the ownership of digital ad campaigns for Fortune 500 brands.
Maintain high client satisfaction by beating campaign objectives and KPIs
Present analysis of various components of campaigns - high level or granular to key stakeholders - internal and external
Maintain and Improve Analytical Infrastructure
Improve existing analytics infrastructure - tools and techniques
Own, maintain, and improve several business processes to improve team efficiency
Collaborate with the Product and Engineering teams
Provide feedback on existing products
Identify bugs and collaborate with the engineering team to test and resolve
Ideate and develop new features and tools that will enhance the existing products and increase the capabilities of the team
Collaborate with Campaign Management, Media Strategy, and Account Management teams
Provide analytical support to account management and sales team for client calls and issues
Enable campaign management to improve workflow by providing suggestions for improvement
Enhance the quality of media strategy team’s output by providing analytical support
Deeply understand “how things work” so there is end-to-end transparency from impression to report
Requirements:

You have 1-3 years of hands-on analytical experience. Marketing / Advertising / Analytics related experience is preferred but not necessary.
You are an expert with MS Excel (pivot tables, complex functions; VBA preferred)
Foundational knowledge of SQL and related data query tools, as well as experience with any scripting language
Strong analytical background and critical thinking
Ability to thrive in a fast-paced, high-volume, and deadline-driven environment
You are an excellent communicator, including written, oral, and presentation skills. Able to communicate and present information in a clear way to a diverse audience.
You have a high degree of ownership and integrity.
You are curious and have a passion to learn new things
Familiarity with the TV or Digital advertising ecosystem is helpful, but not mandatory
Master’s in an analytical field (science, math, engineering, finance, etc.)
Employment opportunities are available to all applicants without regard to race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.",Business Analyst,[]
81,6,6,SAP Business Analyst,Excelion Partners,"De Pere, WI",Onsite,$85 - $99 ,ct,"**Must be a US Citizen or Green Card(no 3rd party or sponsorship opportunity)**
SKILLS:
In-depth knowledge of Supply Chain and related department processes.
Technical and functional expertise in SAP or other ERP systems Supply Chain modules.
Experience with Project Management tools (such as Microsoft Project)
Driven to continuously learn new practices, processes, methodologies, and technologies.
Experience using Microsoft Office products.
Ability to document functional and technical specifications.
Strong organizational and time management skills.
Ability to maintain a professional demeanor.
Effective written, verbal communication and customer service skills.
Ability to maintain confidentiality.
Job Type: Contract
Pay: $85.00 - $99.00 per hour
Schedule:
8 hour shift
Ability to commute/relocate:
De Pere, WI: Reliably commute or planning to relocate before starting work (Required)
Work Location: One location",Business Analyst,['communication']
82,7,7,Business Intelligence Analyst/Developer,Cardinal Investment Advisors,"St. Louis, MO 63105",Hybrid remote,"$75,000 - $100,000 ",r - Full-time,"Cardinal Investment Advisors, LLC
Named one of Pension & Investments BEST Places to Work for the past eight years
www.cia-llc.com
Cardinal Investment Advisors is a national investment consulting firm serving institutional investors with offices in St. Louis and Chicago. We assist our clients in developing, implementing, and sustaining their investment strategies. This includes asset-liability and asset allocation studies, investment manager searches, capital market research, and investment performance analysis.
Cardinal has a team-oriented culture that fosters creativity and diversity of ideas. We are looking to attract and retain an experienced, hard-working, and service-minded individual.
YOUR RESPONSIBILITIES
· Provide ongoing development and maintenance of an operational database and enterprise data warehouse using BI best practices, relational structures, dimensional data modeling, structured query language skills, data warehouse and reporting techniques
· Improve and streamline processes regarding data flow and data quality to improve data accuracy, viability, and value
· Provide ongoing development and maintenance of a BI architecture
· Provide end-user support and encourage user adoption. Act as Tier 1 support for end-users of BI tools. Train end-users on basic functionality. Direct users to training material and available resources. Develop said training material
· Provide support for a variety of meetings, demonstrations, and program activities related to Business Intelligence
· Test reports/dashboard projects in accordance with business and functional design following best practices for quality assurance
· Record and track defects uncovered during test execution and assist in defect resolution (troubleshooting and researching)
· Consult with project team members and customer stakeholders to identify, define, and document business needs and objectives, current reporting capabilities, and challenges related to the business functions
YOUR EXPERIENCE
· You have a bachelor’s degree or relevant work experience
· You have a minimum of two years relevant work experience
· You have experience using common BI tools including MicroStrategy, Microsoft Power BI, SQL Server Reporting Services, Tableau, Sisense, SAP Crystal Reports, IBM Cognos, Qlik, etc.
· You have knowledge of SQL Databases and Query Creation
· You are currently authorized to work in the United States on a full-time basis
· You are a critical thinker with strong technical skills
· You have strong attention to detail with excellent organizational and time management skills
· You can communicate effectively with internal and external teams
· You are a strong team player that is willing to always help other team members
· You can thrive with minimal direct supervision/management
· You have general investment knowledge, preferred but not required
· You have strong knowledge of Microsoft Office
· You have knowledge of software development life cycle (SDLC) practices, principles, and techniques
· You have a proven ability to communicate technical details to a non-technical audience
Cardinal is an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, gender, sexual orientation, gender identity, national origin, disability, or status as a protected veteran.
Job Type: Full-time
Pay: $75,000.00 - $100,000.00 per year
Benefits:
401(k)
401(k) matching
Dental insurance
Disability insurance
Health insurance
Health savings account
Paid holidays
Paid sick time
Paid time off
Parental leave
Retirement plan
Vision insurance
Compensation package:
Bonus pay
Experience level:
2 years
Schedule:
Monday to Friday
Education:
Bachelor's (Required)
Experience:
SQL: 2 years (Preferred)
Business intelligence: 2 years (Required)
Work Location: Hybrid remote in St. Louis, MO 63105

Health insurance",Business Analyst,['database']
83,8,8,Website Business Analyst,Central Bancompany,"Jefferson City, MO 65101",Onsite,N,r - Full-time,"Central Bancompany is seeking to hire a Website Business Analyst to help develop and enhance the Central Bancompany family of websites. As the Website Business Analyst, you will work with the Website Team to prioritize projects, gather, define, demonstrate, evaluate, and write project requirements and user stories, conduct usability and acceptance testing, and analyze usability versus performance tradeoffs. You will utilize the agile process to ensure the timely and satisfactory completion of projects, create visualizations and reports. In this role, you will have the opportunity to work closely with Design and Development, Analytics, Customer Experience, Marketing, and other stakeholders.

To be successful in this role, you will need to be detail-oriented, a good communicator, and a team player. Candidates should have a bachelor's degree in Computer Information, Business Administration, or related fields, 5 or more years of website design and development experience, and 3 or more years of project management experience is preferred. Advanced knowledge of JIRA and agile development process, Microsoft products, Adobe XD, and technology trends is desired. You will have autonomy in this role, so we are looking for someone self-motivated, organized, takes ownership, and is a critical thinker.

Requirements:
BS or BA in Computer Information Systems / Business Administration or equivalent, advance degree or working towards advanced degree desirable

5+ years of website design and development methodologies or related field a plus

3+ years of Project Management experience or the ability to demonstrate very strong organizational skills a plus

Strong aptitude for understanding both technology and business concepts and processes

Knowledge of the agile development process a plus

Strong attention to detail and critical thinking

Ability to work with limited direction

Ability to take ownership - does not pass off work to others

Caring, positive, can-do attitude, and a motivated TEAM player

Excellent oral and written communication skills

A knowledge and understanding of technology and technology trends – utilizes mobile devices and technology to manage personal finances

Knowledge of JIRA for managing the agile process will be important

Advanced computer skills specifically in Adobe XD a plus
Familiar with Microsoft suite of products (MS Office, Word, Excel, PowerPoint, Team)",Business Analyst,"['project management', 'agile', 'communication']"
84,9,9,"Junior Business Analyst (Houston, TX)",Stage 4 Solutions Inc,"Houston, TX",Onsite,$21 - $26 ,ct,"Junior Business Analyst (Houston, TX)
We are looking for a Junior Business Analyst for a large, global B2B high-tech company. In this role, you will work with various network engineering, architecture, design, and implementation teams.
This is a 40-hour-per-week, 6-month contract (possibility of extensions). This is an on-site role in Houston, TX.
This is a W2 employee of Stage 4 Solutions. Health benefits and 401K offered.
Responsibilities:
Provides consulting to businesses, functions, and geographies that utilize IT services and drives effective business engagement for IT. Understands the specific goals and needs of the business, function, or geography and represents those needs to the IT organization. Develops and maintains relationships with appropriate members of the business/function/geography organization. Works to align business, function, and geography requirements with IT plans and priorities. Facilitates business, function, and geography involvement in IT projects to identify requirements, gather feedback, and finalize scope. Identifies opportunities for IT to leverage solutions across business, function, and geographic organizations. Establishes effective processes for managing the relationship on an ongoing basis. Communicates IT standards and new IT solutions, processes, and policies to the businesses, functions, and geographies. Connects business/function/geography customers with appropriate IT technical resources when technical discussions are necessary.
Applies basic foundation of a functions principles, theories and concepts to assignments of limited scope. Utilizes professional concepts and theoretical knowledge acquired through specialized training, education or previous experience. Exercises independent judgment within defined parameters. Develops expertise and practical knowledge of applications within business environment. Acts as team member by providing information, analysis and recommendations in support of team efforts.
Requirement:
2 years of related experience in business consulting. Experience in programming/supporting business and/or technical solutions and system analysis.
Please submit your resume to our network at http://jobs.stage4solutions.com/ (apply to the Junior Business Analyst (Houston, TX) role).
Please feel free to forward this job post to others you think may be interested.
Stage 4 Solutions is an equal opportunity employer. We celebrate diversity and are committed to providing employees with an inclusive environment that is free of discrimination and harassment. All employment decisions are based on the job requirements and candidates' qualifications, without regard to race, color, religion/belief, national origin, gender identity, age, disability, marital status, genetic information or other applicable legally protected characteristics.
Compensation: $21/hr. - $26/hr.",Business Analyst,[]
85,10,10,Business Analyst,Plaxonic Technologies,"New York, NY",Remote,$40 - $50 ,ct,"Role: Business Analyst
Location: NYC, NY(Onsite/Hybrid- 3 days onsite in a week)
Duration: 6+ Months
Job Description :
Ability to understand business requirements Ability to drive client meetings Ability to work with internal teams and explain the requirements Good documentation skills Good understanding of JIRA/Confluence is preferred
Job Type: Contract
Salary: $40.00 - $50.00 per hour
Experience level:
8 years
Schedule:
8 hour shift
Experience:
Business analyst: 7 years (Required)
Jira: 6 years (Required)
Work Location: Remote
Speak with the employer
+91 (727) 241- 5640",Business Analyst,[]
86,11,11,Business Intelligence Analyst,Warner Music Group,"Los Angeles, CA 90028",Remote,"$64,480 - $78,000 ",r - Full-time,"Job Description:
At Warner Chappell Music (WCM), we shape the culture of songwriting and champion songs that resonate for generations by creating transformational opportunities for songwriters everywhere. Our people and culture are at the epicenter of our company, and we are looking for team members who share our service-oriented mindset and have a passion for looking after our songwriters.
As the global music publishing arm of Warner Music Group (WMG), we’re a collective band of music lovers, innovative connectors, and relentless supporters of our songwriters and catalog of iconic works. We lead with curiosity, collaborate across departments, borders, languages, and genres, and we’re committed to delivering on the promises we make to each other and to our songwriters.
Job Title: Business Intelligence Analyst
A little bit about our team:
The Warner Chappell Global Strategic Integration and Operations (SI&O) team is a small but mighty team focused on delivering and implementing business objectives. Working closely with our global leaders, we are responsible for driving and embedding our global business strategy. Technology is a very important part of our strategy, developing systems and products to amplify our business. The team are looking for a Business Intelligence Analyst to work alongside the wider team, partnering across all of Warner Chappell’s divisions, as well as our Global Product and Tech teams.
Your role:
Supporting the Director, Product Owner - Data & Business Intelligence, you will work in a future focused fast-paced and dynamic environment, integral to the development, delivery, and enhancement of bespoke intelligence requirements across all business areas globally. Working with the wider team, you will collaborate with stakeholders across the business to scope and deliver on all current and evolving business intelligence requirements.
The role will expand your music industry knowledge, giving you a thorough understanding of all its processes and nuances, and provide you the opportunity to grow your technical skillset.

Here you’ll get to:
Connect and collaborate with a large, varied group of stakeholders and business units to deliver on bespoke business intelligence requirements.
Identify any valuable external sources of data and coordinate its ingestions and application.
Be responsible for ensuring the integrity of the data of existing and newly created data products.
Engage and understand the best way to provide the data needed for the stakeholders and end users.
Provide support with training across WCM (where needed) on how best to work with each data source.
Complete ad hoc business user requests globally.
Support the wider Product team where required.
Contribute ideas for how to innovate, improve and create more efficient ways of working
Work with international teams, occasionally working out of hours to accommodate time-zones
About you:
Fast learner with a passion for music
Motivated by problem solving, proactively finds and creates solutions
Proven experience working with large data sets in a reporting and analytical capacity – manipulating, comparing, developing and testing new ways of extracting and reporting data
Excellent mathematical, analytical and time management skills.
Experience of working within music publishing, preferably within administration or a related field
Strong communication skills, with the ability to distill complex information into easily digestible formats with confidence
The ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy
Adept at running data queries and workflows, report writing and communicating findings
Proactive and results oriented
The drive to work as part of a successful team
Experience of using reporting tools (e.g., Tableau, Business Objects, Power BI or similar), data wrangling software (e.g. Alteryx, Data Brew or similar)
Experience with SQL, Python, and/or R.
We’d love it if you also had:
Familiarity with automating processes
Experience of working in a fast-paced working environment
Excellent level of proficiency with Microsoft Excel (including PowerPivot/Power Query)
A growth mindset, interested in building upon and expanding your current skillset
An understanding of music publishing and how it fits into the overall music value chain
About us:
At Warner Chappell Music (WCM), we shape the culture of songwriting and champion songs that resonate for generations by creating transformational opportunities for songwriters everywhere.
Before the fans and fame, the soundtracks and syncs, there is the song. And before the song comes the songwriter - the heart of an art form that defines generations, and the soul of our business. Songwriters are our inspiration; we are their partners, collaborators, and crusaders.
Songwriters shape culture; and here at WCM we help hone their craft, build their careers, and protect their legacies. We value curiosity, collaboration, and commitment – which helps set us apart and helps us in our commitment and global service to our songwriters.
We are Warner Chappell Music - where songwriters are heard.
About Warner Music Group: As the home to 300 Elektra, Asylum, Atlantic, East West, FFRR, Fueled by Ramen, Nonesuch, Parlophone, Rhino, Roadrunner, Sire, Warner Records, Warner Classics, and several other of the world’s premier recording labels, Warner Music Group champions emerging artists and global superstars alike. And our renowned publishing company, Warner Chappell Music, represents genre-spanning songwriters and producers through a catalogue of more than one million copyrights worldwide. Redefining what it means to be a music company in the 21st century, our consumer brands include trend-setters like UPROXX, Songkick, HipHopDX, and EMP. We’re the home to WMX – the next generation services division that connects artists with fans and amplifies brands in creative, immersive, and engaging ways – and Alternative Distribution Alliance (ADA) – the ground-breaking global distribution company for independent artists and labels.
Love this job and want to apply?
Click the “Apply” link at the top of the page, or apply directly with your LinkedIn. Applying with LinkedIn will import all of the information you put in your profile, but will still allow you to upload a resume and cover letter.
Don’t be discouraged if you don’t hear from us right away. We’re taking our time to review all resumes, and to find the best people for WMG.
Thanks for your interest in working for WMG. We love it here, and think you will, too.
WMG is committed to inclusion and diversity in all aspects of our business. We are proud to be an equal opportunity workplace and will evaluate qualified applicants without regard to race, religious creed, color, age, sex, sexual orientation, gender, gender identity, gender expression, national origin, ancestry, marital status, medical condition as defined by state law (genetic characteristics or cancer), physical or mental disability, military service or veteran status, pregnancy, childbirth and related medical conditions, genetic information or any other characteristic protected by applicable federal, state or local law.
#LI-Hybrid
#WCM
Salary Range
$64,480 - $78,000 Annually
Salary Ranges are included for all NY, California job postings and 100% remote roles where talent can be located. The actual base pay is dependent upon many factors, such as work experience and business needs. The pay range is subject to change at any time dependent on a variety of internal and external factors.
WMG is committed to inclusion and diversity in all aspects of our business. We are proud to be an equal opportunity workplace and will evaluate qualified applicants without regard to race, religious creed, color, age, sex, sexual orientation, gender, gender identity, gender expression, national origin, ancestry, marital status, medical condition as defined by state law (genetic characteristics or cancer), physical or mental disability, military service or veteran status, pregnancy, childbirth and related medical conditions, genetic information or any other characteristic protected by applicable federal, state or local law.
Copyright © 2023 Warner Music Inc.",Business Analyst,['communication']
87,12,12,Business Analyst,Etainement,"Lewisville, TX 75057",Hybrid remote,"$42,000 - $65,000 ",r - Full-time,"Who are we?
Etainement is a leader in live event ticket pricing, data, and distribution. We trade live event tickets, including concerts, sports, and theatre across multiple online marketplaces using data and proprietary technology.
We are looking for passionate, innovative, and driven people who want to be part of our growing company. We are actively expanding our inventory acquisition team, and we are looking for an Analyst to join our team assisting in developing inventory acquisition strategies using our internal software tools and proprietary data.
https://etainement.co/
What would you do?
Analyze markets by using both historical and real-time proprietary data
Analyze pricing trends across our inventory portfolio.
Deliver actionable insights to managers and analysts.
Perform ad-hoc analysis for leadership team as needed.
Organizing and constructing data conclusions using business intelligence visualization tools
Closely monitor and research sales and data trends in both the primary and secondary markets.
Become a subject matter expert with the goal of expanding and optimizing future buys.
Identify, analyze, and interpret trends or patterns in complex data sets
Monitor the market trends and teams performances/standing
Be able to work well under pressure and manage multiple tasks simultaneously
Use exceptional time management skills to adjust quickly to the ever-changing market
What do you bring?
Interest and skill in understanding markets
Strong curiosity and motivation to learn
Strong ability to multitask in a fast-paced environment
Strong analytical skills and understanding the value of analyzing data to make decisions
Desire to take initiative and be a self-starter
Ability to effectively work as part of a team and independently
Strong written and verbal communication skills; comfortable presenting data-heavy information in a clear and concise manner to all levels of the organization
Maturity, integrity, and a strong work ethic with high attention to detail
Excellent interpersonal and critical thinking skills
Use exceptional time management skills to adjust quickly to the ever-changing market
Job Type: Full-time
Pay: $42,000.00 - $65,000.00 per year
Benefits:
Flexible schedule
Paid time off
Compensation package:
Bonus pay
Experience level:
No experience needed
Schedule:
Monday to Friday
Work Location: Hybrid remote in Lewisville, TX 75057",Business Analyst,['communication']
