Title,Company,Location,Type,Salary,Contract_type,Job_Description,JobType,Industry
Varsity Football Assistant Coach,Lancaster County Public Schools ( VA),"Kilmarnock, VA",Onsite,N,rt-time,"Position Description

An assistant football coach instructs players at practice and during games. He or she is also responsible for designing plays and strategies for the team.

Essential Duties and Responsibilities of a Assistant Football Coach
Knows and understands the football league rule book and any changes that are made.
Studies the skills and abilities of the players on the team and puts each player in the most suitable position.
Recognizes and uses each player's specific talents to devise plays and playing strategies for games.
Studies the abilities of the players on opposing teams as well as their coach's strategies.
Works as a teacher when coaching a high school team.
Knows how many timeouts are left in each game and makes the best use of them.
Asks the referee questions about calls on plays.
Keeps up with the score throughout the game.
Devises drills and practice exercises that will adequately prepare players for each game.
Teaches players the rules of the game and how to avoid making fouls that result in penalties.
Works with individual players to hone their particular skills and eliminate bad habits.
Completes any paperwork required for the job especially in a public school setting.
Takes instructions from head coach and uses them effectively to help build the skill level of the team.
Looks for new players and recruits them for the team.
Participates in fundraising events and activities when coaching.

Required Knowledge, Skills and Abilities
Understand the fundamentals of the game of football.
Be in good physical condition.
Have the ability to motivate players to reach their potential.
Must have exceptional leadership skills.
Must have excellent communication skills.
Have the ability to make quick decisions under pressure.
Be able to effectively handle stress and keep the temper in check.
Have the ability to notice small details.
Must have an excellent memory and superior concentration skills.

Education and Experience
Have experience playing on a football team.
Have past experience as a football coach at any age group.

Report to

Athletic Director or Administration

Terms of Employment

As per contract and board policies and regulations",Referee,Sport and Recreation
"Assistant Coach - Club Baseball (Part Time, Temporary Hourly, Non-Benefited)",Central Oregon Community College,"Bend, OR 97701",Onsite,"Full-time, Tempor",ry,"Job Summary/Purpose:
The Assistant Coach assists the Head Coach in all aspects of the club sports teams programming for practices, games, administrative organization of team rosters, equipment, conduct and team travel.

Terms of Employment:
This is a part-time (<.50 FTE) Temporary Hourly/Non-Benefited position
Requires flexible work schedule, which may include evenings and/or weekends as well as travel throughout the district when needed.
COCC employees must work and reside in the state of Oregon at the time their work is being performed.
The College is NOT able to support Visa applications for this position. Applicants must already be eligible to work in the United States to be considered for this position.
Upon hire, must pass criminal and/or driving history; only information relevant to the position will be considered.

Essential Functions:
Assists the Head Coach with instructing players in the rules, regulations equipment and techniques of the club and intramural sports.
Organizes and directs individual and small group practice activities/exercises as directed by the Head Coach.
Assesses player’s skills, monitors players during competition and practice, and keeps the Head Coach informed of the athletic performance of students.
Assists with determining game strategy.
Assists the Head Coach with supervising athletes during practices and competition.
Follows established procedures in the event of an athlete’s injury.
Models sports-like behavior and maintains appropriate conduct towards players, officials and spectators.
Maintains the equipment in orderly condition.
Distributes equipment, supplies and uniforms to students as directed by the head coach.
Performs support tasks such as distributing and maintaining eligibility forms, team rosters, emergency data cards and other related records.
Models nondiscriminatory practices in all activities and upholds department vision statement, and code of conduct.
Assist head coach with conducting practices, motivating students and instructing student athletes in game strategies and techniques.
On occasion, drives the team in school vehicles to away games.
Perform other administrative duties as assigned that supports the overall objective of the position.

Knowledge, Skills and Abilities:
Individuals must possess these knowledge, skills and abilities or be able to explain and demonstrate that the individual can perform the duties and responsibilities of the job, with or without reasonable accommodation, using some other combination of skills and abilities. The individual is expected to follow College work rules and policies.
Ability to represent the College in a positive, professional manner.
Ability to interact with a diverse set of individuals and groups representing a variety of backgrounds.
Ability to communicate effectively to a variety of stakeholders like, referees, club sports association members, athletic trainers, COCC staff, and students.
Ability to work cooperatively with, and contribute to, a diverse workplace through ideas or experience.
Ability to display patience in interactions with students and community visitors who do not have experience with the educational process.
Ability to communicate effectively, both orally and in writing, using English language with or without the use of auxiliary aids or an interpreter.

Physical Demands and Other Ergonomic Requirements:
Work hours are determined by the supervisor and vary based on business needs and locations. Position assignments may be assigned an alternate schedule to service the campus needs. Requires the ability to sit or stand at workstation for extended periods, and possibly in various weather outdoors. Occasional lifting up to 25lbs. All individuals are required to perform essential functions with or without reasonable accommodation.

Equal Employment Opportunity (EEO) Statement
The goal of Central Oregon Community College is to provide an atmosphere that encourages our faculty, staff and students to realize their full potential. In support of this goal, it is the policy of Central Oregon Community College that there will be no discrimination or harassment on the basis of age, disability, sex, marital status, national origin, ethnicity, color, race, religion, sexual orientation, gender identity, genetic information, citizenship status, veteran or military status, pregnancy or any other classes protected under federal and state statutes in any education program, activities or employment. Persons with questions about this statement should contact Human Resources at 541.383.7216 or the Vice President for Student Affairs at 541.383.7211.
This policy covers nondiscrimination in both employment and access to educational opportunities. When brought to the attention of the appropriate parties, any such actions will be promptly and equitably responded to according to the process outlined in general procedures sections N-1, N-2, or N-3.
In support of COCC’s EEO statement, bilingual fluency in English and Spanish is considered a plus, along with experience working in a diverse multicultural setting.

Minimum Qualifications:
High School diploma or equivalent
One (1) year of experience coaching or playing the sport.
The College recognizes the value of skills and knowledge gained outside of formal higher education and paid employment. Applicants who do not meet minimum qualifications but present other qualifications or experience equivalent to those required will be considered and are encouraged to apply. To qualify under equivalency, applicants must indicate how they qualify by responding to the supplemental question presented during the application process.
All employees are required to successfully complete and pass a background screen, which includes a criminal history check.

Preferred Qualifications:
Two (2) years’ experience coaching or playing the sport.
One (1) year of experience in a higher education environment.
License:
Current valid Oregon driver’s license or ability to obtain prior to scheduled activity date; must be able to gain approval for driving according to the COCC Driving Policy.
Certifications:
CPR certification or the ability to obtain it within 30 days of hire.

Special Instructions to Applicants:
THIS RECRUITMENT IS HIRING FOR AN ON-CALL TEMPORARY HOURLY NON-BENEFITED POSITION, TO ASSIST WITH SCHEDULING VACANCIES AND REPLACEMENT NEEDS.

NOTE: You may be required to upload required documents indicated in this posting at the time you apply. Unofficial transcripts are acceptable at application. It is the responsibility of the applicant to upload all required documents, including transcript(s). If you have questions please contact Human Resources at 541-383-7216.",Referee,Sport and Recreation
"Athletic Trainer Certified (ATC)- NBA Referees, Industrial and Outreach Indianapolis, IN",Select Physical Therapy,"Indianapolis, IN 46227",Onsite,"From $42,000 ",r - Full-time,"Overview:
$2000 sign on bonus!

**You must have a minimum of a Bachelor's Degree in Athletic Training and BOC certified to be considered**

Select Physical Therapy is now hiring an Athletic Trainer to help with local outreach, NBA referee programs, and our indutrial setting!

A Certified Athletic Trainer is involved in the Athletic Training Services program: coordinates medical coverage of contract school’s or professional team’s athletic events and practices, coordinates the access of healthcare for athletes at contract locations, and designs/implements specific therapeutic programs for rehabilitation of injured athletes. May be responsible for administering POETS in the clinic setting and/or at a job specific location.

This role will be a unique split role between Lutheran High School (20-25 hours), NBA referee hours 2 hour prior to tip off, and 10-13 hours in our Industrial Athletic Training program in Indianapolis!

Compensation: starting at $42,000 with potential for loan reimbursements and sign on bonuses.

Select Physical Therapy is part of Select Medical's Outpatient Division. We are a nationally prominent, locally driven provider of outpatient physical rehabilitation with almost 1900 locations in 39 states, including the District of Columbia. Throughout the country we operate primarily as Select Physical Therapy, NovaCare Rehabilitation, Physio, Kessler Rehabilitation Center, KORT, Saco Bay Physical Therapy, Concentra, SSM Physical Therapy and Keystone Physical Therapy. Our highly respected clinical team provides preventative and rehabilitative services that maximize functionality and promote well-being. We develop individualized treatment plans to help achieve each patient's specific goals. Our integrated local market network allows us to effectively partner with physicians, employers, payors and case managers to achieve optimal patient outcomes in a cost-effective manner. We also provide physical therapy and athletic training services to professional sports teams, colleges, universities and high schools.
Responsibilities:
Responsible for patient care under supervision of a licensed physical therapist.
Involved in the Athletic Training Services program, participation in the coverage of school athletic events and practices.
Designs and implements specific therapeutic programs for rehabilitation of the injured athlete
Determines the need for and administers proper athletic training techniques prior to and during games/practices to decrease risk of injury. Athletic training techniques can include: taping, wrapping, bracing, proper hydration and minor wound care.
Performs, with interpretation, selected measurement procedures such as isokinetic testing, range of motion, gross strength of muscle groups, length and girth of body parts, and vital signs.
Determines the effectiveness of athletic training/rehabilitative techniques and records change as indicated by athlete response within limits of specified plan of care.
Works closely with physical therapists and area physicians to treat athletes. Maintains proper lines of communication to ensure athlete is getting optimal care within the team.
Prudently manages emergency incidents, coordinates EMS and acute care procedures including Basic Life support to reduce the impact on function of an injured athlete.
Seeks outreach opportunities and participates in events to promote the company (races, club teams, etc).
Able to assist in the development of marketing strategies which lie within the athletic trainer’s area of clinical expertise.
Qualifications:
Minimum Qualifications:
BS Degree REQUIRED
Minimum one year clinical experience
National Athletic Trainers Association (NATA) certification
Cardio Pulmonary Resuscitation (CPR) certification
Applicable state license where required

Physical Requirements:
Ability to lift patients using biomedical techniques frequently throughout the course of a work day/shift; must be capable of easily lifting fifty (50) pounds of weight alone.
Ability to walk, bend, stand, and reach constantly during a work day/shift.
Visual acuity (near and distant) sufficient to maintain accurate records, recognize people, and understand written direction.
Ability to speak and hear sufficiently to understand and give directions.
Ability to push wheeled equipment throughout the facility and in the community.
Fine motor skills adequate for scheduling and preparing athletes, equipment, and supplies for treatment.
Ability to participate in sustained activities for many hours in duration in accordance with state labor laws.
Additional Data:
Select Medical is committed to having a workforce that reflects diversity at all levels and is an equal opportunity employer. Qualified applicants are considered for employment, and employees are treated during employment without regard to race, color, religion, national origin, citizenship, age, sex, sexual orientation, gender identity, marital status, ancestry, physical or mental disability, veteran status, or any other characteristic protected under applicable law.",Referee,Sport and Recreation
Camp Sports Coach Chester Springs,ESF Camps,"Chester Springs, PA 19425",Onsite,"Full-time, Tempor",ry,"ESF Camps is hiring SportsLab Camp Coaches to join our mission-driven team at The Montgomery School in Chester Springs, PA. The Coach is responsible for the supervision of campers while providing a safe and fun learning environment.
Why ESF?
Make a positive impact on children and youth (grades 1-9) while receiving comprehensive training.
Internships, field work, continuing education credits, lifeguard, and specialty certification reimbursement
Flexible summer schedule with the opportunity to work up to 10 consecutive weeks
Become a motivated leader and gain experience supervising children while building long lasting relationships
Discounted camp tuition for children of team members
Employee referral bonus program
*
SportsLab Coaches are hired in the following age groups:*
Ivy League: Rising 1st grade
Big East: Rising 2nd & 3rd grades
Big Ten: Rising 4th & 5th grades
ACC: Rising 6th-9th grades
*
Essential Job Responsibilities:*
Promote and actively participate in all camper activities and sports while working effectively with fellow coaches and collaborate on daily responsibilities.
Help to instruct and act as referee for a variety of sports.
Supervise campers with attention to behavior and group management while serving as a positive role model to campers and peers.
Communicate with clear, concise, and grammatically correct written and oral language in all aspects of professional interaction with campers, their families, peers, leadership team and the larger community.
Inform site director of any concerns regarding the health, safety, and security of the campers.
Demonstrate the ESF Core Values and Virtues of Character (Gratitude, Respect, Trustworthiness, Effort, Kindness, Positivity, Resilience, Community) in camp daily
*
Requirements:*
Youth coaching experience preferred
Previous camp counselor/coach experience preferred
Minimum age: 18 at the start of camp
High School Graduate pursuing college degree preferred
Hours are typically from 8:30am-3:40pm; Monday - Friday. Counselors can work extended hours for additional income.
Push/pull, lift and carry a minimum of thirty-five (35) pounds across campus. Work outside, upright, and mobile for six (6) to eight (8) hours per day
Respond to emergency situations which may include running (up to 1 mile in some cases) and ascending stairs without undue exertion
The site director must approve any non-contracted requests for time off, schedule changes, or alterations to the schedule.
It is understood you will complete all trainings and pre-employment credentials required by ESF and the state you are working in.
Follow the ESF Code and maintain the ""ESF Look"" at all times
*
Reporting Relationships:*
Reports directly to and takes direction from the Camp Director. May also take direction from and is overall accountable to the Site Director.
*
Covid 19 Health & Safety Protocols*
ESF has developed and will be implementing an Advanced Safety Plan to ensure our campers, team members, and parents thrive in a safe environment. This plan includes detailed safety measures in the following areas. Team members will be trained on all protocols and full compliance is expected.
Limited enrollment and smaller group sizes
Camper & staff screening with use of Personal Protective Equipment (PPE)
Cleaning, disinfection & handwashing
Premier outdoor facilities
Reasonable contact reduction, including social distancing practices
Symptom Management Action Plan
Specialized Safety Training
Job Types: Full-time, Temporary",Referee,Sport and Recreation
Head Girls Wrestling Coach,"Norfolk Public Schools, NE","Norfolk, NE 68701",Onsite,Contr,ct,"JOB TITLE: SENIOR HIGH: HEAD GIRLS WRESTLING COACH ('23-'24)
(This position must be tied to a contracted teaching position)

REQUIREMENTS:
Bachelor's Degree from an accredited college or university
Valid, current Nebraska teaching certificate
Previous teaching and head coaching experience preferred
First aid and CPR certified
Knowledge of conference rules and regulations
Such alternatives to the above qualifications as the Activities Director finds appropriate
REPORTS TO: Building Principal and Activities Director

RECEIVES GUIDANCE FROM: Building Principal and Activities Director

JOB GOAL: Actively coach and mentor student athletes and lead a comprehensive activity program focusing on: player development, teamwork, sportsmanship, respect for the game, self, and others, leadership, and self –discipline. Provide direction and support to student athletes to maximize team and individual skills, increase knowledge about the game of basketball, compete at high levels, and exhibit positive behaviors. NPS coaches are actively engaged in the Norfolk community and embrace the mission and values of the school district.

TERMS OF EMPLOYMENT: Extra duty assignment aligned with standard nine month teaching contract; salary and work year to be established by the Board of Education

EVALUATION: Evaluated annually in accordance with provisions of Personnel Evaluation Policy

ESSENTIAL FUNCTIONS:
Oversees 7-12 program development.
In conjunction with the Senior High and Junior High athletic directors, oversees program staffing.
Consistent and punctual “on site” attendance at the worksite.
Interacts thoughtfully and respectfully with student athletes, fellow coaches, staff, parents and community members.
Reinforces strong academic accountability and the importance of education.
Practices positive communication strategies.
Teaches fundamental skills and develops advanced skills.
Develops positive personality traits, such as self-esteem, confidence, punctuality and loyalty.
Communicates and enforces expectations regarding student conduct and eligibility guidelines.
Schedules and leads informational parent meetings.
Creates a safe environment conducive to learning and appropriate social/skill development.
Works directly with athletic training personnel to ensure safety and prevent injuries.
Models good sportsmanship.
Instills a sense of fair play and a positive attitude toward winning and losing.
Improves the physical condition of student/athletes.
Obeys decisions of referees and officials.
Sets example of exemplary behavior at all times.
Cooperates with teaching staff and enforces eligibility requirements for participating students.
Records attendance and performance of each student.
Encourages students to participate in more extracurricular activities, to develop well-rounded student athletes.
Ensures availability of youth club and summer programs for all levels of participants.
Inventories equipment and keeps records of damage and losses.
Recommends equipment and supply budget to Activities Director.
Attends professional meetings, follows new developments in the sport.
Maintains proper endorsements/authorization through meetings, workshops and courses.
Performs other duties as assigned by the appropriate administrator.
INTERPERSONAL SKILLS:
Exhibits patience, openness, and concern in dealing with students and parents
Mutual respect and positive rapport between students and coach is evident within and outside the learning environment
Detail-oriented
Exhibits tact and self-control in dealing with parents and students
Accepts suggestions and directions from the building principal and activities director with a growth mindset
OTHER REQUIREMENTS (Intellectual, Sensory):
Visual and hearing acuity
Skills in organization, problem solving and conflict management
Skills in effective resource management
Ability to handle stress and pressure from parents and fans
Skills in assessment and evaluation
WORK ENVIRONMENT/ CONDITIONS:

The work environment characteristics described here are representative of those an employee encounters while performing the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.
Ability to work varied hours as requested including early mornings, evenings, and occasional weekends.
Ability to work in a smoke-free and drug-free work environment.

PHYSICAL DEMANDS:

The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential function
Maintain physical condition appropriate to the performance of assigned duties and responsibilities which may include sitting or standing for extended periods of time.
Strength, movement, auditory, taste/smell, and vision demands specific to job.
Manual dexterity to handle computer and phone requirements.",Referee,Sport and Recreation
Referee,Town of Pagosa Springs,"Pagosa Springs, CO 81147",Onsite,$15 - $25 ,l,"JOB
Officiate games or competitions for both kids and adult leagues organized by the Town to include any of the following sports: SoftballBaseballBasketballSoccerVolleyballT-BallHourly pay range: $15.00 - $25.00/hr.

EXAMPLE OF DUTIES
Make sure that the rules of the game are being followed by all players. Explain the rules as needed and ensure that all participants understand these rules. Make calls regarding when these rules are broken and assess penalties.Track time of events indicating the start and end of each game. Determine if a game needs more than the allotted time to complete.Inspect equipment to make sure that it meets the specifications set by the Town and safety standards.

SUPPLEMENTAL INFORMATION
Working in a fast-paced environment, Referees/Officials need to have an eye for detail and possess strong verbal communication, decision-making, and leadership skills. Ability to easily resolve conflicts and utilize above-average customer service skills.Referees/Officials should be energetic and have the physical ability to be on their feet for long periods of time, as they will be standing, walking and even running during sporting events.",Referee,Sport and Recreation
Sports Official 1/2/3 (PT),The Town of Parker,"Parker, CO 80138",Onsite,$17.53 - $24.56 ,rt-time,"JOB
Under the general supervision of the Sports Staff, this position is responsible for officiating sports leagues for the Town of Parker. This position may include working with youth, coaches, parents, spectators, adults, sports supervisors and other officials/referees within the athletic section of the Recreation Department. Must be able to effectively and accurately exercise knowledge of the sport and demonstrate fairness in calls.

EXAMPLE OF DUTIES
For more information on job functions, requirements and a full list of essential qualifications for the Sport Official1/2/3, please view the full job descriptions available on the employment page of the Town of Parker website, https://www.parkeronline.org/201/Employment-Opportunities, under the 'Job Descriptions' link.

SUPPLEMENTAL INFORMATION
This job posting for a Sports Official/Referee 1/2/3 is based on applicant experience and qualifications. Full salary range for Sports Official/Referee 1 is: $17.53/hr. - $24.56/hr.Full salary range for Sports Official/Referee 2 is: $19.06/hr. - $26.74/hr.Full salary range for Sports Official/Referee 3 is: $21.24/hr. - $29.76/hr.Part-time and Seasonal Town of Parker employees have limited access to benefits which include: employee assistance program (EAP), one (1) hour of sick time accrued for every thirty (30) hours worked, and employee plus one (1) other member in your household a membership to the Parker Recreation Center and/or Fieldhouse. The Town of Parker is an Equal Opportunity employer.Please contact jobs@parkeronline.org with questions regarding this position. Applicants must have the ability to successfully complete a pre-employment background check. Applications will be accepted on a continuous basis until a sufficient number of qualified applications have been received.",Referee,Sport and Recreation
Seasonal Recreation Referee/Umpire,City of Baraboo,"Baraboo, WI 53913",Onsite,$25 per g,l,"JOB
ADULT SOFTBALL UMPIREHours: Various part-time hours available. Tuesdays in June thru August $25 Per Game* Must be at least 16 years of age* Must have knowledge of the sport officiating

EXAMPLE OF DUTIES
Examples of Work: Start games on time, maintain rules and order during games and monitor for weather conditions during the game, calling off contests when necessary to ensure participant safety.Report scores and any disciplinary issues to office following contests.Assist with the set-up and take down of the activity area and the proper storage of all equipment associated with the activity.Communicate the basic techniques, rules, and proper use of equipment needed for conducting the specific sport.Interact with program participants, families, and coaches in a positive and enthusiastic way.Assist the Supervisor/Coordinator with resolving potential conflicts between coaches, parents, program participants, and other staff members in a courteous manner.Assist the Supervisor in ensuring the safety and well being of program participants, coaches, and staff.Attend staff meetings, orientation, and training sessions as required.Contact the Supervisor, Recreation Coordinator or Department Director in the case of an accident/injury to a program participant, coach, staff member, or other person(s) related to the program and activate EMS as needed.Report any vandalism, graffiti, or other problems observed at a program facility.Advise the Supervisor, Recreation Coordinator or Department Director of any suspicious person(s), Vehicles(s), or any activity generally considered to be unwholesome or illegal.Other related tasks as assigned.",Referee,Sport and Recreation
Referee/Umpire,City of Onalaska,"Onalaska, WI 54650",Onsite,Se,l,"JOB
Under the supervision of the Recreation Manager or designee, the employee in this position is responsible for enforcing the rules of a game and oversight of any portion associated with specific sports games. Independently provides sport specific rule interpretation to players, coaches, and spectators during sporting events. ESSENTIAL JOB FUNCTIONS: Any one position may not include all the duties listed, nor do the examples listed in their relative order of importance include all the duties that may be found in positions of the like.Administers the rules of a particular sport.Promotes sportsmanship, cooperation, and teamwork.Teaches participants the rules and regulations of the activity/sport.Assists with the set-up and cleanup of facilities.Reports injuries, facility hazards, and program concerns to the Recreation Manager or designee.Attends training and organizational meetings as needed or requested.Maintains communication with program participants, staff and office staff.Resolves conflicts between participants and between coaches.Other duties as required or assigned.

EXAMPLE OF DUTIES
High School diploma or equivalent preferred. Must possess supervision and leadership techniques/skills. Experience playing, coaching or being part of a sport or program of similar nature.

SUPPLEMENTAL INFORMATION
The work environment characteristics described herein are representative of those an employee encounters while performing the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.Physical Effort: The employee is occasionally required to exert light to medium physical effort in sedentary and light to medium work involving lifting, carrying, pushing, walking, standing, throwing, catching, reaching with hands and arms, standing, sitting, climbing, balancing, stooping, running, jumping, kneeling or crouching. The employee must occasionally lift and/or move 25 pounds. Specific vision abilities required include close and distant vision and the ability to adjust focus.Working Conditions: The noise level in the work environment is moderately quiet. The work environment varies depending upon the activity, sport or office work being completed; normally office and some activities work will be completed indoors with controlled climate conditions; sports and some activities will normally be outdoors with uncontrolled climate conditions. Occasionally the employee may be required to be outdoors for a long period of time, and therefore subject to varying weather conditions, for purposes of accomplishing the essential functions of this job.",Referee,Sport and Recreation
Girls JV Basketball Coach,Wheaton Academy,"West Chicago, IL 60185",Onsite,N,l,"Description:
The Girls JV Basketball Coach supports the Head Varsity Basketball Coach by maintaining the Basketball program’s overall level of excellence, its reputation within the community, the leadership of the coaching staff, and the physical and spiritual development of players.
Essential duties include the following. Other duties may be assigned:
Coaches the junior varsity team.
Attends all regular season and post-season practices and games.
Continues to pursue growth in skills as a position coach by learning from other coaching staff and attending coaching clinics.
Uses requisite technology independently to perform coaching instructional and program operational duties.
Assistant and Junior Varsity coaches are assigned select roles by the head varsity coach. These could include:
Coaching:
Position strategy and coordination.
Player discipleship and leadership development.
Development and oversight of other assistant coaches.
Communication:
Assist with communication to parents
Assist with communication to players
Assist with communication to parent volunteers
Assist with social media:
Coordination with Sports Information Director to keep social media and website current.
Program operations
Athletic Trainer coordination.
Assist with referee coordination.
Assist with team excursions.
Assist with community and school service activities.
Assist with college recruiting.
Assist with summer camp operations.
Representing Wheaton Academy within in the conference and IHSA.
Requirements:
Qualifications: The JV Basketball Coach accepts without verbal or mental reservations the Educational Philosophy and Mission of Wheaton Academy as outlined in the Statement of Faith and is committed to upholding them. The coach shall follow a Christian lifestyle and shall maintain a Christian church affiliation whose fundamental beliefs are in alignment with the Statement of Faith of this school. The coach affirms that, as part of the qualifications for this position, he/she is a ""born again"" Christian who knows the Lord Jesus Christ as Savior.
The ideal candidate has prior collegiate playing experience. This person is knowledgeable of the game and has prior coaching experience. This individual has proven leadership experience in directing others and a program toward the completion of a vision in coaching or other professional contexts.
To perform this job successfully, an individual must be able to perform each essential duty satisfactorily. The requirements listed above are representative of the knowledge, skill, and/or ability required. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.",Referee,Sport and Recreation
JV Softball Head Coach,Lancaster County Public Schools ( VA),"Kilmarnock, VA",Onsite,"$2,000 ", month,"Position Description:

The JV High School baseball coach is responsible for working to organize thesoftball program at Lancaster High School. The coach will develop practice schedules, effectively communicate with players and parent, motivate students and instruct student athletes in game strategies and techniques.

Essential Duties and Responsibilities of a Softball Coach
Knows and understands the softball league rule book and any changes that are made.
Studies the skills and abilities of the players on the team and puts each player in the most suitable position.
Recognizes and uses each player's specific talents to devise plays and playing strategies for games.
Studies the abilities of the players on opposing teams as well as their coach's strategies.
Asks the referee questions about calls on plays.
Keeps up with the score throughout the game.
Devises drills and practice exercises that will adequately prepare players for each game.
Teaches players the rules of the game and how to avoid making fouls that result in penalties.
Works with individual players to hone their particular skills and eliminate bad habits.
Completes any paperwork required for the job especially in a public school setting.
Gives instructions to assistant coaches and uses them effectively to help build the skill level of the team.
Trains assistant coaches to become head coaches in the future.
Looks for new players and recruits them for the team.
Participates in fundraising events and activities when coaching.
Must possess the ability to establish and maintain effective working relationships with school administrators, parents, and students.
Model good sportsman-like behavior and always maintain appropriate conduct towards players, officials and spectators.

Required Knowledge, Skills and Abilities
Understand the fundamentals of the game of softball.
Be in good physical condition.
Have the ability to motivate players to reach their potential.
Must have exceptional leadership skills.
Must have excellent communication skills.
Have the ability to make quick decisions under pressure.
Be able to effectively handle stress and keep the temper in check.
Have the ability to notice small details.
Must have an excellent memory and superior concentration skills.

Education and Experience:
Have experience playing on a softball team.
Have past experience as an head or assistant softball coach.

Report to:

Athletic Director or Administration

Terms of Employment:

As per contract and board policies and regulations

Salary Range:

$2000.00

This job description in no way states or implies that these are the only duties to be performed by this employee. The Assistant Coach will be required to follow any other instructions and to perform any other related duties as assigned by the Head Soccer Coach, Athletic Director & Principal or appropriate administrator. Lancaster County Public Schools reserves the right to update, revise or change this job description and related duties at any time.",Referee,Sport and Recreation
